Customer_ID,Customer_Name,Customer_Type,City,State,Pincode,Phone,Email,Registration_Date,Total_Orders,Total_Spend_INR,Preferred_Payment,Is_Premium,GSTIN,Credit_Limit_INR,Account_Manager
CUST000001,Customer_1,B2C,Kolkata,West Bengal,950895,9999051439,cust1@mail.in,2023-02-19 00:00:00,43,810757.08,Wallet,TRUE,27AAPFU6208H2ZM,467419.6,AM_14
CUST000002,Customer_2,D2C,Nashik,Maharashtra,131261,9999746528,cust2@mail.in,2024-09-07 00:00:00,268,551265.8,UPI,FALSE,27AAPFU7484H7ZM,298910.63,AM_41
CUST000003,Customer_3,D2C,Thiruvananthapuram,Kerala,247709,9524722098,cust3@mail.in,2021-08-26 00:00:00,390,245822.57,Wallet,FALSE,27AAPFU5122H4ZM,413055.31,AM_35
CUST000004,Customer_4,D2C,Bhopal,Madhya Pradesh,215083,9621022820,cust4@mail.in,2024-03-10 00:00:00,209,#ERROR,Net Banking,TRUE,,493513.66,AM_24
CUST000005,Customer_5,D2C,Jodhpur,Rajasthan,917085,9662141137,cust5@mail.in,2023-10-30 00:00:00,373,N/A,Wallet,FALSE,,54701.53,AM_50
CUST000006,Customer_6,Marketplace Seller,Dibrugarh,Assam,102322,9133930648,cust6@mail.in,2021-09-04 00:00:00,28,783777.25,Wallet,TRUE,,475182.07,AM_31
CUST000007,Customer_7,B2B,Kota,Rajasthan,536272,9265619597,cust7@mail.in,2021-02-28 00:00:00,267,426482,Wallet,TRUE,27AAPFU5601H6ZM,308755.77,AM_24
CUST000008,Customer_8,B2B,Udaipur,Rajasthan,304368,9648361923,cust8@mail.in,2021-07-03 00:00:00,484,981165.35,Prepaid,TRUE,27AAPFU4077H6ZM,249742.75,AM_13
CUST000009,Customer_9,B2C,Haldwani,Uttarakhand,616119,9920011455,cust9@mail.in,2023-03-12 00:00:00,116,901884.77,COD,TRUE,27AAPFU6496H4ZM,341080.48,AM_9
CUST000010,Customer_10,D2C,Dhanbad,Jharkhand,789616,9792107188,cust10@mail.in,2024-02-24 00:00:00,64,530937.24,UPI,FALSE,,446392.71,AM_42
CUST000011,Customer_11,Marketplace Seller,Aurangabad,Maharashtra,207622,9717130729,cust11@mail.in,2022-01-03 00:00:00,264,127218.08,Wallet,TRUE,27AAPFU2808H4ZM,61820.06,AM_46
CUST000012,Customer_12,Marketplace Seller,Margao,Goa,613528,9127138510,cust12@mail.in,2022-03-19 00:00:00,417,594658.68,Prepaid,FALSE,27AAPFU7972H6ZM,329548.3,AM_29
CUST000013,Customer_13,Government,Darbhanga,Bihar,524453,9972864865,cust13@mail.in,2022-03-22 00:00:00,125,31039.68,COD,FALSE,,385045,AM_28
CUST000014,Customer_14,B2C,Ranchi,Jharkhand,748018,,cust14@mail.in,2022-06-07 00:00:00,277,843679.41,UPI,FALSE,,315209.17,AM_36
CUST000015,Customer_15,B2B,Dwarka,Delhi,252808,9906864988,cust15@mail.in,2023-09-22 00:00:00,219,42261.3,Prepaid,FALSE,,373994.22,AM_50
CUST000016,Customer_16,D2C,Kozhikode,Kerala,823463,,cust16@mail.in,2021-10-14 00:00:00,487,730025.82,Credit,FALSE,27AAPFU5845H7ZM,276355.69,AM_30
CUST000017,Customer_17,B2B,Gurugram,Haryana,868651,9615184653,cust17@mail.in,2021-03-27 00:00:00,270,535634.19,Credit,FALSE,,53810.63,AM_20
CUST000018,Customer_18,Government,Manali,Himachal Pradesh,555207,9239377963,cust18@mail.in,2022-06-19 00:00:00,435,141244.36,Credit,FALSE,27AAPFU3607H5ZM,186711.2,AM_32
CUST000019,Customer_19,B2C,Meerut,Uttar Pradesh,619489,9321661977,,2022-01-07 00:00:00,33,460815.19,UPI,TRUE,,191691.74,AM_26
CUST000020,Customer_20,Government,Bokaro,Jharkhand,833309,9382055524,cust20@mail.in,2021-12-06 00:00:00,93,N/A,COD,TRUE,27AAPFU9641H4ZM,427193.78,AM_20
CUST000021,Customer_21,Government,Howrah,West Bengal,861420,9452793135,cust21@mail.in,2023-03-04 00:00:00,138,394990.22,Credit,TRUE,,252048.53,AM_13
CUST000022,Customer_22,Government,Ponda,Goa,287120,9770837139,cust22@mail.in,2024-10-11 00:00:00,445,953286.8,UPI,TRUE,,133456.16,AM_35
CUST000023,Customer_23,B2C,Vadodara,Gujarat,177281,9622449712,cust23@mail.in,2022-12-10 00:00:00,307,120111.76,UPI,TRUE,,133806.64,AM_4
CUST000024,Customer_24,Marketplace Seller,Darbhanga,Bihar,799764,9310601142,cust24@mail.in,2022-04-13 00:00:00,290,686410.71,COD,TRUE,,199430.44,AM_17
CUST000025,Customer_25,B2C,Lucknow,Uttar Pradesh,320107,9805001819,cust25@mail.in,2021-07-13 00:00:00,261,TBD,COD,FALSE,,18672.54,AM_35
